利用日,車両クラス,使用モデル,価格変更リードタイム,実績売上,予測売上,売上差額
2025-04-01,C3,貸渡実績情報_1_C3,32,154000,151446,2553
2025-04-01,C2,貸渡実績情報_1_C2,0,62150,66702,-4552
2025-04-01,C1,貸渡実績情報_1_C1,0,290290,177631,112658
2025-04-01,SUV1,貸渡実績情報_1_SUV1,0,26180,17785,8394
2025-04-01,SUV2,貸渡実績情報_1_SUV2,0,27225,30887,-3662
2025-04-01,W3,貸渡実績情報_1_W3,0,68805,71163,-2358
2025-04-01,W1,貸渡実績情報_1_W1,31,31680,34723,-3043
2025-04-01,W2,貸渡実績情報_1_W2,0,70950,94908,-23958
2025-04-02,C1,貸渡実績情報_1_C1,1,230230,162888,67341
2025-04-02,C2,貸渡実績情報_1_C2,1,74580,102398,-27818
2025-04-02,C3,貸渡実績情報_1_C3,62,123200,77666,45533
2025-04-02,SUV1,貸渡実績情報_1_SUV1,1,26180,17785,8394
2025-04-02,SUV2,貸渡実績情報_1_SUV2,1,27225,30887,-3662
2025-04-02,W1,貸渡実績情報_1_W1,32,79200,83101,-3901
2025-04-02,W2,貸渡実績情報_1_W2,1,260150,297666,-37516
2025-04-02,W3,貸渡実績情報_1_W3,1,68805,71163,-2358
2025-04-03,C1,貸渡実績情報_1_C1,2,350350,324099,26250
2025-04-03,C2,貸渡実績情報_1_C2,2,74580,102398,-27818
2025-04-03,C3,貸渡実績情報_1_C3,63,215600,171174,44425
2025-04-03,SUV1,貸渡実績情報_1_SUV1,2,26180,17785,8394
2025-04-03,SUV2,貸渡実績情報_1_SUV2,2,27225,30887,-3662
2025-04-03,SUV3,貸渡実績情報_1_SUV3,52,52140,23976,28163
2025-04-03,W1,貸渡実績情報_1_W1,33,79200,83101,-3901
2025-04-03,W2,貸渡実績情報_1_W2,2,331100,355262,-24162
2025-04-03,W3,貸渡実績情報_1_W3,2,137610,141019,-3409
2025-04-04,C1,貸渡実績情報_1_C1,3,410410,303372,107037
2025-04-04,C2,貸渡実績情報_1_C2,3,211310,204859,6450
2025-04-04,C3,貸渡実績情報_1_C3,33,292600,233202,59397
2025-04-04,SUV1,貸渡実績情報_1_SUV1,3,52360,32127,20232
2025-04-04,SUV2,貸渡実績情報_1_SUV2,3,18150,19801,-1651
2025-04-04,SUV3,貸渡実績情報_1_SUV3,53,52140,23976,28163
2025-04-04,W1,貸渡実績情報_1_W1,34,95040,96563,-1523
2025-04-04,W2,貸渡実績情報_1_W2,3,425700,395158,30541
2025-04-04,W3,貸渡実績情報_1_W3,3,160545,160395,149
2025-04-05,C1,貸渡実績情報_1_C1,4,440440,303372,137067
