利用日,車両クラス,使用モデル,価格変更リードタイム,利用台数累積実績（価格変更時）,利用台数累積実績,利用台数累積（予測）,追加実績予約数（価格変更後）,追加予測予約数（価格が変更されなかった場合）,変更前価格,変更後価格,実績売上（変更前）,実績売上（変更後）,予測売上（変更後）,実績売上,予測売上（価格変更影響なし時は実績値）,売上差額
2025-04-01,SUV1,貸渡実績情報_1_SUV1,0,,2,2.0,,,,,26180.0,0.0,0.0,26180.0,26180.0,0.0
2025-04-01,SUV2,貸渡実績情報_1_SUV2,0,,2,2.0,,,,,27225.0,0.0,0.0,27225.0,27225.0,0.0
2025-04-01,W1,貸渡実績情報_1_W1,0,,2,2.0,,,,,31680.0,0.0,0.0,31680.0,31680.0,0.0
2025-04-01,W2,貸渡実績情報_1_W2,0,,4,4.0,,,,,70950.0,0.0,0.0,70950.0,70950.0,0.0
2025-04-01,W3,貸渡実績情報_1_W3,0,,3,3.0,,,,,68805.0,0.0,0.0,68805.0,68805.0,0.0
2025-04-01,C2,貸渡実績情報_1_C2,32,3.0,5,5.0,2.0,2.0,9322.5,12430.0,27968.0,24860.0,55935.0,52828.0,46613.0,6215.0
2025-04-01,C1,貸渡実績情報_1_C1,31,15.0,29,19.0,14.0,10.0,8508.5,10010.0,119119.0,150150.0,306306.0,269269.0,204204.0,65065.0
2025-04-01,C3,貸渡実績情報_1_C3,32,7.0,10,10.0,3.0,2.0,11550.0,15400.0,80850.0,46200.0,46200.0,127050.0,103950.0,23100.0
2025-04-02,SUV1,貸渡実績情報_1_SUV1,0,,2,2.0,,,,,26180.0,0.0,0.0,26180.0,26180.0,0.0
2025-04-02,SUV2,貸渡実績情報_1_SUV2,0,,2,2.0,,,,,27225.0,0.0,0.0,27225.0,27225.0,0.0
2025-04-02,W1,貸渡実績情報_1_W1,0,,5,5.0,,,,,79200.0,0.0,0.0,79200.0,79200.0,0.0
