価格差 , 利用台数累積_lag30, ja_name, 車両クラス, リードタイム_計算済, 利用台数累積, 価格_トヨタ, 価格_オリックス
1144.0 ,               31.0, 平日   , C1        ,                   0,           51,      6864.0,          5720.0
1144.0 ,               31.0, 平日   , C1        ,                   1,           51,      6864.0,          5720.0
1144.0 ,               28.0, 平日   , C1        ,                   2,           50,      6864.0,          5720.0
1144.0 ,               28.0, 平日   , C1        ,                   3,           48,      6864.0,          5720.0
1144.0 ,               28.0, 平日   , C1        ,                   4,           48,      6864.0,          5720.0
1144.0 ,               28.0, 平日   , C1        ,                   5,           45,      6864.0,          5720.0
1144.0 ,               28.0, 平日   , C1        ,                   6,           45,      6864.0,          5720.0
1144.0 ,               26.0, 平日   , C1        ,                   7,           45,      6864.0,          5720.0
1144.0 ,               26.0, 平日   , C1        ,                   8,           44,      6864.0,          5720.0
1144.0 ,               26.0, 平日   , C1        ,                   9,           44,      6864.0,          5720.0
1144.0 ,               26.0, 平日   , C1        ,                  10,           44,      6864.0,          5720.0
1144.0 ,               24.0, 平日   , C1        ,                  11,           43,      6864.0,          5720.0
1144.0 ,               24.0, 平日   , C1        ,                  12,           43,      6864.0,          5720.0
1144.0 ,               24.0, 平日   , C1        ,                  13,           43,      6864.0,          5720.0
1144.0 ,               24.0, 平日   , C1        ,                  14,           43,      6864.0,          5720.0
-1320.0,               24.0, 平日   , C1        ,                  15,           41,      8580.0,          9900.0
-1320.0,               24.0, 平日   , C1        ,                  16,           40,      8580.0,          9900.0
-1320.0,               22.0, 平日   , C1        ,                  17,           39,      8580.0,          9900.0
-1320.0,               22.0, 平日   , C1        ,                  18,           38,      8580.0,          9900.0
-1320.0,               22.0, 平日   , C1        ,                  19,           38,      8580.0,          9900.0
-1320.0,               21.0, 平日   , C1        ,                  20,           38,      8580.0,          9900.0
-1320.0,               21.0, 平日   , C1        ,                  21,           38,      8580.0,          9900.0
-1320.0,               20.0, 平日   , C1        ,                  22,           37,      8580.0,          9900.0
-1320.0,               20.0, 平日   , C1        ,                  23,           37,      8580.0,          9900.0
-1320.0,               18.0, 平日   , C1        ,                  24,           36,      8580.0,          9900.0
-1320.0,               18.0, 平日   , C1        ,                  25,           36,      8580.0,          9900.0
-1320.0,               17.0, 平日   , C1        ,                  26,           35,      8580.0,          9900.0
-1320.0,               17.0, 平日   , C1        ,                  27,           34,      8580.0,          9900.0
-1320.0,               17.0, 平日   , C1        ,                  28,           32,      8580.0,          9900.0
-1320.0,               17.0, 平日   , C1        ,                  29,           31,      8580.0,          9900.0
-1320.0,               17.0, 平日   , C1        ,                  30,           31,      8580.0,          9900.0
-1320.0,               17.0, 平日   , C1        ,                  31,           31,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  32,           28,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  33,           28,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  34,           28,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  35,           28,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  36,           28,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  37,           26,      8580.0,          9900.0
-1320.0,               16.0, 平日   , C1        ,                  38,           26,      8580.0,          9900.0
-1320.0,               15.0, 平日   , C1        ,                  39,           26,      8580.0,          9900.0
-1320.0,               15.0, 平日   , C1        ,                  40,           26,      8580.0,          9900.0
-1320.0,               15.0, 平日   , C1        ,                  41,           24,      8580.0,          9900.0
-1320.0,               13.0, 平日   , C1        ,                  42,           24,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  43,           24,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  44,           24,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  45,           24,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  46,           24,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  47,           22,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  48,           22,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  49,           22,      8580.0,          9900.0
-1320.0,               11.0, 平日   , C1        ,                  50,           21,      8580.0,          9900.0
-1320.0,               10.0, 平日   , C1        ,                  51,           21,      8580.0,          9900.0
-1320.0,               10.0, 平日   , C1        ,                  52,           20,      8580.0,          9900.0
-1320.0,               10.0, 平日   , C1        ,                  53,           20,      8580.0,          9900.0
-1320.0,                9.0, 平日   , C1        ,                  54,           18,      8580.0,          9900.0
-1320.0,                8.0, 平日   , C1        ,                  55,           18,      8580.0,          9900.0
-1320.0,                8.0, 平日   , C1        ,                  56,           17,      8580.0,          9900.0
-1320.0,                6.0, 平日   , C1        ,                  57,           17,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  58,           17,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  59,           17,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  60,           17,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  61,           17,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  62,           16,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  63,           16,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  64,           16,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  65,           16,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  66,           16,      8580.0,          9900.0
-1320.0,                5.0, 平日   , C1        ,                  67,           16,      8580.0,          9900.0
-1320.0,                4.0, 平日   , C1        ,                  68,           16,      8580.0,          9900.0
-1320.0,                3.0, 平日   , C1        ,                  69,           15,      8580.0,          9900.0
-1320.0,                3.0, 平日   , C1        ,                  70,           15,      8580.0,          9900.0
-1320.0,                3.0, 平日   , C1        ,                  71,           15,      8580.0,          9900.0
-1320.0,                3.0, 平日   , C1        ,                  72,           13,      8580.0,          9900.0
-1320.0,                3.0, 平日   , C1        ,                  73,           11,      8580.0,          9900.0
-1320.0,                3.0, 平日   , C1        ,                  74,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  75,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  76,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  77,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  78,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  79,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  80,           11,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  81,           10,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  82,           10,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  83,           10,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  84,            9,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  85,            8,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  86,            8,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  87,            6,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  88,            5,      8580.0,          9900.0
-1320.0,                2.0, 平日   , C1        ,                  89,            5,      8580.0,          9900.0
-1320.0,                1.0, 平日   , C1        ,                  90,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  91,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  92,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  93,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  94,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  95,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  96,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  97,            5,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  98,            4,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                  99,            3,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 100,            3,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 101,            3,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 102,            3,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 103,            3,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 104,            3,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 105,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 106,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 107,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 108,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 109,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 110,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 111,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 112,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 113,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 114,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 115,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 116,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 117,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 118,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 119,            2,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 120,            1,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 121,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 122,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 123,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 124,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 125,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 126,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 127,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 128,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 129,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 130,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 131,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 132,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 133,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 134,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 135,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 136,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 137,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 138,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 139,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 140,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 141,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 142,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 143,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 144,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 145,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 146,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 147,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 148,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 149,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 150,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 151,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 152,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 153,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 154,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 155,            0,      8580.0,          9900.0
-1320.0,                0.0, 平日   , C1        ,                 156,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 157,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 158,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 159,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 160,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 161,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 162,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 163,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 164,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 165,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 166,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 167,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 168,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 169,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 170,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 171,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 172,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 173,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 174,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 175,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 176,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 177,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 178,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 179,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 180,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 181,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 182,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 183,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 184,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 185,            0,      8580.0,          9900.0
-1320.0,                   , 平日   , C1        ,                 186,            0,      8580.0,          9900.0
